date,revenue,order_count,items_sold,unique_customers,revenue_lag_1,orders_lag_1,revenue_lag_7,orders_lag_7,revenue_lag_14,orders_lag_14,revenue_lag_30,orders_lag_30,revenue_rolling_mean_7,revenue_rolling_std_7,revenue_rolling_min_7,revenue_rolling_max_7,revenue_rolling_mean_14,revenue_rolling_std_14,revenue_rolling_min_14,revenue_rolling_max_14,revenue_rolling_mean_30,revenue_rolling_std_30,revenue_rolling_min_30,revenue_rolling_max_30,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_month_start,is_month_end,is_holiday_season,revenue_growth_1d,revenue_growth_7d,revenue_growth_30d,cumulative_revenue,cumulative_orders
2017-03-04,15533.69,80,86.0,77,14154.71,74.0,5126.18,43.0,9308.3,54.0,10676.54,69.0,11050.45857142857,5019.3283753288115,5126.18,18923.170000000002,9684.154285714287,3883.838476457404,4477.65,18923.170000000002,10927.375333333333,3798.5756172896076,4477.65,18923.170000000002,5,4,9,3,1,2017,1,0,0,0,0.09742198886448405,2.0302662021232183,0.45493671170622685,551516.32,3234
2017-03-05,8789.14,74,82.0,73,15533.69,80.0,6583.5,46.0,4477.65,40.0,11639.19,60.0,12537.245714285715,4484.983824373868,6583.5,18923.170000000002,10128.824999999999,4182.400580972512,4477.65,18923.170000000002,11089.280333333334,3889.92928071918,4477.65,18923.170000000002,6,5,9,3,1,2017,1,0,0,0,-0.4341885282891573,0.33502544239386345,-0.24486669605015476,560305.46,3308
2017-03-06,13515.12,105,114.0,105,8789.14,74.0,6836.77,43.0,9157.3,63.0,15747.17,67.0,12852.337142857143,4053.73715613019,6836.77,18923.170000000002,10436.788571428571,3882.241275904454,5126.18,18923.170000000002,10994.278666666667,3910.782750260629,4477.65,18923.170000000002,0,6,10,3,1,2017,0,0,0,0,0.5377067608434958,0.9768282390661087,-0.14174292904693342,573820.58,3413
2017-03-07,13855.369999999999,82,98.0,81,13515.12,105.0,12582.52,55.0,9333.46,41.0,10153.24,75.0,13806.387142857144,3068.046686790117,8789.14,18923.170000000002,10748.061428571427,3945.9417079574023,5126.18,18923.170000000002,10919.877,3837.7931276730937,4477.65,18923.170000000002,1,7,10,3,1,2017,0,0,0,0,0.025175507135711594,0.10116018094944401,0.36462547915739196,587675.95,3495
2017-03-08,16769.66,79,88.0,79,13855.369999999999,82.0,18923.170000000002,99.0,9393.369999999999,63.0,11626.0,85.0,13988.222857142857,3020.7769911603555,8789.14,18923.170000000002,11071.054999999998,4005.8577205958863,5126.18,18923.170000000002,11043.281333333334,3871.6634338812732,4477.65,18923.170000000002,2,8,10,3,1,2017,0,0,0,0,0.21033649769006546,-0.11380281422193017,0.4424273180801652,604445.61,3574
2017-03-09,13828.33,93,114.0,91,16769.66,79.0,13146.36,72.0,8571.86,59.0,16627.21,112.0,13680.578571428572,2499.0243433883593,8789.14,16769.66,11597.932857142858,4246.108780876597,5126.18,18923.170000000002,11214.736666666666,4009.7875868673395,4477.65,18923.170000000002,3,9,10,3,1,2017,0,0,0,0,-0.17539592335205367,0.05187519587170897,-0.16833130753746417,618273.94,3667
2017-03-10,14518.92,88,99.0,85,13828.33,93.0,14154.71,74.0,7983.01,64.0,14299.97,95.0,13778.002857142857,2487.9957320281874,8789.14,16769.66,11973.395000000002,4189.9758225440655,5126.18,18923.170000000002,11121.440666666667,3910.8530530836024,4477.65,18923.170000000002,4,10,10,3,1,2017,0,0,0,0,0.04994023139453563,0.02573065785169759,0.015311220932631375,632792.86,3755
2017-03-11,12503.97,71,80.0,71,14518.92,88.0,15533.69,80.0,5126.18,43.0,10844.17,77.0,13830.032857142856,2500.961037626098,8789.14,16769.66,12440.245714285715,4073.666812976906,5126.18,18923.170000000002,11128.739,3917.188451661472,4477.65,18923.170000000002,5,11,10,3,1,2017,1,0,0,0,-0.13878098370953218,-0.19504187350204627,0.153059201395773,645296.83,3826
2017-03-12,7853.18,64,71.0,62,12503.97,71.0,8789.14,74.0,6583.5,46.0,15674.09,66.0,13397.215714285716,2417.7647030873873,8789.14,16769.66,12967.230714285715,3490.1224993874052,6583.5,18923.170000000002,11184.065666666667,3924.7448640790726,4477.65,18923.170000000002,6,12,10,3,1,2017,1,0,0,0,-0.3719450702456899,-0.10649050987923725,-0.4989705941461354,653150.01,3890
2017-03-13,19306.06,111,118.0,109,7853.18,64.0,13515.12,105.0,6836.77,43.0,5648.37,49.0,13263.507142857143,2721.835817211822,7853.18,16769.66,13057.922142857144,3324.0240160688845,6836.77,18923.170000000002,10923.368666666667,3875.6562880571314,4477.65,18923.170000000002,0,13,11,3,1,2017,0,0,0,0,1.4583748239566647,0.4284786224613617,2.4179878442807397,672456.0700000001,4001
2017-03-14,16542.98,99,114.0,99,19306.06,111.0,13855.369999999999,82.0,12582.52,55.0,16682.29,64.0,14090.784285714284,3561.5718673775536,7853.18,19306.06,13948.585714285715,3196.9855261208704,7853.18,19306.06,11378.625,4033.5950911321243,4477.65,19306.06,1,14,11,3,1,2017,0,0,0,0,-0.1431198286962747,0.19397605404980167,-0.008350771986340044,688999.05,4100
2017-03-15,17364.91,108,121.0,107,16542.98,99.0,16769.66,79.0,18923.170000000002,99.0,13092.09,78.0,14474.728571428572,3675.0219145034966,7853.18,19306.06,14231.475714285714,3241.719457675585,7853.18,19306.06,11373.981333333333,4027.3540755325325,4477.65,19306.06,2,15,11,3,1,2017,0,0,0,0,0.04968451875055169,0.03549565107461938,0.32636653124138304,706363.9600000001,4208
2017-03-16,16653.72,103,127.0,103,17364.91,108.0,13828.33,93.0,13146.36,72.0,15309.08,76.0,14559.764285714287,3743.228048796283,7853.18,19306.06,14120.171428571428,3091.5102070717044,7853.18,19306.06,11516.408666666666,4163.464270340872,4477.65,19306.06,3,16,11,3,1,2017,0,0,0,0,-0.04095558226331142,0.20431895970084613,0.0878328416861105,723017.68,4311
2017-03-17,13611.279999999999,65,79.0,64,16653.72,103.0,14518.92,88.0,14154.71,74.0,8326.4,62.0,14963.391428571427,3803.0642837429054,7853.18,19306.06,14370.697142857143,3148.1195300550844,7853.18,19306.06,11561.230000000001,4212.649058109766,4477.65,19306.06,4,17,11,3,1,2017,0,0,0,0,-0.18268831228098004,-0.0625142916966277,0.6347136817832435,736628.9600000001,4376
